Compound name, Molecular weight, Molecular formula
Acetic acid,60.052,CH3COOH,
Hydrochloric acid,36.458,HCl,
Sulfuric acid,‎98.072,H2SO4,
Acetate,59.044,	CH3CO
Ammonia,17.031,	NH3
Nitric acid,63.012,	HNO3
Phosphoric acid,97.994, H3PO4
Sodium phosphate,119.976, Na3PO4
Calcium carbonate, 100.086,	CaCO3
Ammonium sulfate, 132.134,(NH4)2SO4
Carbonic acid,62.024, H2CO3
Sodium bicarbonate, 84.0066, NaHCO3
Sodium hydroxide, 39.997, NaOH
Calcium hydroxide, 74.092, Ca(OH)2
Ethanol,46.069,	C2H5OH
Hydrobromic acid,80.912,HBr
Nitrous acid,‎47.013,HNO2
Potassium hydroxide, 56.11,	KOH
Silver nitrate,	169.872, AgNO3
Sodium carbonate,	105.988, Na2CO3
Sodium chloride,58.44, NaCl
Cellulose, 162.1406,(C6H10O5)n
Magnesium hydroxide, 58.319, Mg(OH)2
Methane,16.043,	CH4
Nitrogen dioxide,30.006,NO2
Sodium nitrate,	84.994,	NaNO3
Sulfurous acid,	82.073,	H2SO3
Aluminium sulfate,342.15,Al2(SO4)3
Aluminum oxide,	101.96, Al2O3
Ammonium nitrate,80.043, NH4NO3
Ammonium phosphate,	132.056, (NH4)3PO4
Barium hydroxide,171.341, Ba(OH)2
Carbon tetrachloride,153.811, CCl4
Citric acid	192.123, C6H8O7
Hydrocyanic acid,‎27.026, HCN
Salicylic Acid,	138.121, C7H6O3
Hydroiodic acid,127.91, HI
Hypochlorous acid,	52.457, HClO
Iron iii oxide,	159.687, Fe2O3
Magnesium phosphate,262.855, Mg3(PO4)2
Sodium acetate,	82.0343, C2H3NaO2
Sodium sulfate,	‎142.036, Na2SO4
Sucrose,342.2965, C12H22O11
Potassium nitrate,	101.102, KNO3
Ammonium bicarbonate,96.086, NH4HCO3
Ammonium chloride,53.489, NH4Cl
Ammonium hydroxide,	35.046, NH4OH
Calcium nitrate,164.088, Ca(NO3)2
Calcium oxide,	56.0774, CaO
Carbon monoxide,28.01, 	CO
Chlorine gas,70.9, Cl2
Phenol, 94.11, C6H6O,
Hydrogen peroxide,34.0147, H2O2
Hydroxide,17.007, OH
Magnesium chloride,	95.211, MgCl2
Potassium chloride,	74.5513, KCl
Potassium iodide,166.0028,KI
Sulfur dioxide,	64.066, SO2
Glycerin,92.09, C3H8O3
Barium nitrate,	261.337, Ba(NO3)2
Calcium acetate,158.17, C4H6O4Ca
Iron oxide,	159.69, Fe2O3
Potassium carbonate,138.205, K2CO3
Silver chloride,‎143.318, AgCl
Sodium iodide,	149.894, NaI
Sodium oxide,61.9789, Na2O
Sodium sulfide,	78.0452, Na2S
Zinc nitrate,189.388,Zn(NO3)2
Phenolphthalein,318.32, C20H14O4
Magnesium nitrate,148.313, Mg(NO3)2
Silicon dioxide,60.083, SiO2
Acetone,58.08, 	C3H6O
Hydroquinone,110.11, C6H6O2
Pyridine,79.1, C5H5N
Ammonium acetate,77.083, C2H3O2NH4
Xylene,	106.16, C8H10
Barium sulfate,	233.38, BaSO4
Benzene,78.11, 	C6H6
Bicarbonate,61.016,	CHO3
Chromate,15.992, CrO4
Methyl Ethyl Ketone,72.107, C4H8O
Cyanide, 26.02, CN
Trichloroacetic acid, 163.38, C2HCl3O2
Magnesium sulfate,120.361,MgSO4
Methanol,32.04, CH3OH
Oxygen,	15.999, O
Methylene blue, 319.85, C16H18ClN3S
Sodium sulfite,	126.043, Na2SO3
Sulfur trioxide,80.057, SO3
Aluminum phosphate,	121.951, AlPO4
Stearic acid,284.484, C18H36O2
Dinitrogen monoxide,44.013, N2O
Titanium dioxide,233.38, TiO2
Acetonitrile,41.053, C2H3N
Oxalic acid,90.03, 	H2C2O4
Potassium dichromate,294.185, K2Cr2O7
Sodium bromide,	102.894, NaBr
Sodium hypochlorite,74.439, NaClO
Zinc acetate,183.48, Zn(CH3COO)2(H2O)2
Zinc chloride,136.286, ZnCl2
Zinc hydroxide,	99.424,	Zn(OH)2
Magnesium carbonate,84.313, MgCO3
Potassium chlorate,	122.545, KClO3
Hydrazine,32.0452, N2H4
Ascorbic acid,176.12, C6H8O6
Benzoic acid,122.12, C7H6O2
Resorcinol,	110.1, 	C6H6O2
Chlorine,‎70.9, Cl2
Maleic acid,116.072, C4H4O4
Sodium metabisulfite,190.107, Na2S2O5
Acetamide,59.068,C2H5NO
Sodium silicate,122.062, (Na2O)x·SiO2
Nitrite,46.005, NO2
Phosphate,94.9714, PO43
Dichloromethane,84.93, CH2Cl2
Carbon Disulfide,76.13, CS2
Potassium chromate,	194.189, CrK2O4
Zinc sulfate,161.436, ZnSO4
Iodine, 126.90, I
Tannic acid,1701.19, C76H52O46
Aluminum,26.982, Al
Perchloric acid,100.46, HClO4
Hypochlorite,51.449, ClO
Potassium Bromide,119.002, KBr
Chromic acid,118.01, H2CrO4
Water,18.01528, H2O
Methyl acetate,	74.079, C3H6O2
Dimethyl sulfoxide,	78.13,C2H6OS
